DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-3152052,12/10/2022 9:53:00,GOOD,0-3152052,43.08138,5.98798
0-3152052,12/10/2022 9:48:00,GOOD,0-3152052,43.08105,5.98862
0-3152052,12/10/2022 9:43:00,GOOD,0-3152052,43.08076,5.98916
0-3152052,12/10/2022 9:38:00,GOOD,0-3152052,43.08044,5.98976
0-3152052,12/10/2022 9:33:00,GOOD,0-3152052,43.08019,5.9904
0-3152052,12/10/2022 9:28:00,GOOD,0-3152052,43.07999,5.99111
0-3152052,12/10/2022 9:23:00,GOOD,0-3152052,43.0797,5.99156
0-3152052,12/10/2022 9:18:00,GOOD,0-3152052,43.07973,5.99227
0-3152052,12/10/2022 9:13:00,GOOD,0-3152052,43.07959,5.99289
0-3152052,12/10/2022 9:08:00,GOOD,0-3152052,43.07944,5.99358
0-3152052,12/10/2022 9:03:00,GOOD,0-3152052,43.0794,5.99416
0-3152052,12/10/2022 8:58:00,GOOD,0-3152052,43.07937,5.99474
0-3152052,12/10/2022 8:53:00,GOOD,0-3152052,43.07933,5.9954
0-3152052,12/10/2022 8:48:00,GOOD,0-3152052,43.07935,5.99602
0-3152052,12/10/2022 8:43:00,GOOD,0-3152052,43.07935,5.99662
0-3152052,12/10/2022 8:38:00,GOOD,0-3152052,43.07935,5.99725
0-3152052,12/10/2022 8:33:00,GOOD,0-3152052,43.0794,5.99778
0-3152052,12/10/2022 8:28:00,GOOD,0-3152052,43.07952,5.99823
0-3152052,12/10/2022 8:23:00,GOOD,0-3152052,43.07967,5.99873
0-3152052,12/10/2022 8:18:00,GOOD,0-3152052,43.07984,5.99933
0-3152052,12/10/2022 8:14:00,GOOD,0-3152052,43.08041,5.99926
0-3152052,12/10/2022 8:09:00,GOOD,0-3152052,43.08041,5.99943
0-3152052,12/10/2022 8:03:00,GOOD,0-3152052,43.0782,5.98768
0-3152052,12/10/2022 7:58:00,GOOD,0-3152052,43.0785,5.98444
0-3152052,12/10/2022 7:53:00,GOOD,0-3152052,43.07704,5.97253
0-3152052,12/10/2022 7:48:00,GOOD,0-3152052,43.0773,5.97296
0-3152052,12/10/2022 7:43:00,GOOD,0-3152052,43.07764,5.97004
0-3152052,12/10/2022 7:38:00,GOOD,0-3152052,43.08277,5.95448
0-3152052,12/10/2022 7:33:00,GOOD,0-3152052,43.08703,5.93878
0-3152052,12/10/2022 7:28:00,GOOD,0-3152052,43.08815,5.92385
0-3152052,12/10/2022 7:23:00,GOOD,0-3152052,43.09793,5.918
0-3152052,12/10/2022 7:18:00,GOOD,0-3152052,43.10398,5.90761
0-3152052,12/10/2022 7:13:00,GOOD,0-3152052,43.10549,5.89412
